RowNumber,CustomerId,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Geography_Germany,Geography_Spain,Gender_Male
1,15634602,8.52243209752116,0.32432432432432434,2,0.0,1,1,1,101348.88,1,0,0,0
2,15647311,8.471647168509783,0.3108108108108108,1,0.33403147867725896,1,0,1,112542.58,0,0,1,0
3,15619304,7.947573854561909,0.32432432432432434,8,0.6363571759354565,3,1,0,113931.57,1,0,0,0
4,15701354,8.874809888144785,0.28378378378378377,1,0.0,2,0,0,93826.63,0,0,0,0
5,15737888,9.472682371859094,0.33783783783783783,2,0.5002462155052675,1,1,1,79084.1,0,0,1,0
6,15574012,8.64012259771169,0.35135135135135137,8,0.4533943642217444,2,1,0,149756.71,1,0,1,1
7,15592531,9.367505120898475,0.43243243243243246,7,0.0,2,1,1,10062.8,0,0,0,1
8,15656148,7.217652160277389,0.14864864864864866,4,0.4585397202505607,4,1,0,119346.88,1,1,0,0
9,15792365,7.942293073037287,0.35135135135135137,4,0.5661703921301274,2,0,1,74940.5,0,0,0,1
10,15592389,8.810868114910335,0.12162162162162163,2,0.5364882610306041,1,1,1,71725.73,0,0,0,1
11,15767821,8.082480041244379,0.17567567567567569,6,0.40660620413650816,2,0,0,80181.12,0,0,0,1
12,15737173,7.92109939504836,0.08108108108108109,3,0.0,2,1,0,76390.01,0,0,1,1
13,15632264,7.807925321779707,0.21621621621621623,10,0.0,2,1,0,26260.98,0,0,0,0
14,15691483,8.188244110060218,0.0945945945945946,5,0.0,2,0,0,190857.79,0,0,0,0
15,15600882,8.595238034338408,0.22972972972972974,7,0.0,2,1,1,65951.65,0,0,1,0
16,15643966,8.50864173023001,0.36486486486486486,3,0.570468312453076,2,0,1,64327.26,0,1,0,1
17,15737452,8.675697358584907,0.5405405405405406,1,0.5285129113577549,1,1,0,5097.67,1,1,0,1
18,15788218,8.188244110060218,0.08108108108108109,9,0.0,2,1,1,14406.41,0,0,1,0
19,15661507,8.372966759705925,0.36486486486486486,6,0.0,1,0,0,158684.81,0,0,1,1
20,15568982,8.987637347075678,0.08108108108108109,6,0.0,2,1,1,54724.03,0,0,0,0
21,15577657,9.012328782536258,0.3108108108108108,8,0.0,2,1,1,170886.17,0,0,0,1
22,15597945,8.59974760391409,0.1891891891891892,8,0.0,2,1,0,138555.46,0,0,1,0
23,15699309,7.989569740454013,0.2702702702702703,4,0.0,1,1,0,118913.53,1,0,1,0
24,15725737,8.745984552117223,0.3783783783783784,3,0.0,2,0,1,8487.75,0,0,0,1
25,15625047,9.457799892720107,0.2702702702702703,5,0.0,1,1,1,187616.16,0,0,0,0
26,15738191,8.325147517278273,0.0945945945945946,3,0.0,2,0,1,124508.29,0,0,0,1
27,15736816,9.109766915626984,0.24324324324324326,2,0.5453036330408095,1,1,1,170041.95,0,1,0,1
28,15700772,8.296190248471227,0.35135135135135137,9,0.0,2,0,0,38433.35,0,0,0,1
29,15728693,8.310694107104096,0.33783783783783783,3,0.5633738782148561,1,1,1,100187.43,0,1,0,0
30,15656300,7.434993741615866,0.14864864864864866,0,0.23793393564693935,2,1,1,53483.21,0,0,0,1
31,15589475,8.39194238666761,0.28378378378378377,3,0.0,3,1,0,140469.38,1,0,1,0
32,15706552,8.107912808108656,0.24324324324324326,7,0.34002530668926173,1,0,1,156731.91,0,0,0,1
33,15750181,8.208082453158825,0.3108108108108108,9,0.43887356814872525,2,0,0,81898.81,0,1,0,1
34,15659428,8.041451517178118,0.32432432432432434,6,0.0,2,1,1,34410.55,0,0,1,0
35,15732963,8.971100718464983,0.14864864864864866,9,0.0,2,1,1,142033.07,0,0,1,0
36,15794171,7.802453753539423,0.36486486486486486,0,0.5351337668612782,1,1,0,27822.99,1,0,0,0
37,15788448,7.883735163105242,0.17567567567567569,3,0.5789610833625717,1,0,1,114066.77,0,0,1,1
38,15729599,9.298623914791198,0.20270270270270271,7,0.30509837679513624,1,0,1,98453.45,0,0,1,1
39,15717426,9.472682371859094,0.24324324324324326,7,0.0,1,1,1,40812.9,0,0,0,1
40,15585768,8.349125609133615,0.3108108108108108,6,0.28039065582364536,2,0,1,178074.04,0,1,0,1
41,15619360,7.785992831746522,0.2972972972972973,4,0.0,1,1,0,70154.22,0,0,1,1
42,15738148,7.747310894995782,0.44594594594594594,8,0.4883350048619342,1,0,0,181297.65,1,0,0,0
43,15687946,8.222898518621491,0.581081081081081,2,0.4679961892097306,1,1,1,94153.83,0,0,0,0
44,15755196,9.412869049336715,0.4189189189189189,2,0.5236969320890406,1,0,0,194365.76,1,0,0,0
45,15684171,8.70658769117361,0.581081081081081,5,0.6214918176539327,1,1,1,158338.39,0,0,1,0
46,15754849,9.18940178441408,0.1891891891891892,4,0.43611782776026714,2,1,1,126517.46,0,1,0,0
47,15602280,9.39402064277681,0.12162162162162163,9,0.44657840958454487,1,1,1,119708.21,1,1,0,0
48,15771573,8.604252448951648,0.28378378378378377,9,0.5494015518412276,1,1,1,117622.8,1,1,0,0
49,15766205,8.193212706006458,0.2702702702702703,2,0.41208516174834176,1,0,1,90878.13,0,1,0,1
50,15771873,9.18940178441408,0.25675675675675674,2,0.41359111183349384,2,1,0,194099.12,0,1,0,0
51,15616550,8.870575722479128,0.35135135135135137,10,0.4637873887361996,2,1,0,198059.16,0,1,0,1
52,15768193,8.363446607369193,0.24324324324324326,5,0.5821127215436355,2,0,0,86424.57,0,1,0,1
53,15683553,9.236527745897193,0.20270270270270271,5,0.0,2,0,0,116978.19,0,0,0,0
54,15702298,8.684545602717154,0.3108108108108108,8,0.5004500831393336,1,0,0,164040.94,1,1,0,1
